"","Temp.C","temp.Cat","trial","treatment","genotype","fragment.ID","individual.ID","NP","R"
"83",27.258134545,29,2906,"T3","K2","K203c","K203",0.405916652,-0.383485555
"84",27.279009185,30,3002,"T3","K2","K203c","K203",0.615865111,-0.443127223
"85",27.273974625,31,3104,"T3","K2","K203c","K203",0.702103997,-0.512757403
"86",27.3247067,32,3205,"T3","K2","K203c","K203",0.38658217,-0.462723107
"87",27.32596311,33,3301,"T3","K2","K203c","K203",0.554299055,-0.436319711
"88",27.359169065,34,3402,"T3","K2","K203c","K203",0.034506643,-0.354136983
"89",27.23612863,27,2704,"T3","K2","K203d","K203",0.469605179,-0.325051074
"90",27.353807655,28,2805,"T3","K2","K203d","K203",0.441524342,-0.400487029
"91",27.25999852,29,2901,"T3","K2","K203d","K203",0.775558643,-0.410143056
"92",27.218260735,30,3002,"T3","K2","K203d","K203",0.507489731,-0.445452109
"93",27.204587715,31,3104,"T3","K2","K203d","K203",0.613312348,-0.501905922
"94",27.243026655,32,3206,"T3","K2","K203d","K203",0.140629936,-0.42276882
"95",27.285461115,33,3301,"T3","K2","K203d","K203",0.50928401,-0.510342596
"96",27.176283505,34,3403,"T3","K2","K203d","K203",-0.010263858,-0.342811607
"97",28.31235991,27,2704,"C","K2","K20Ca","K20C",0.526807765,-0.461620614
"98",28.33710049,28,2806,"C","K2","K20Ca","K20C",0.472132129,-0.409534086
"99",28.31459938,29,2901,"C","K2","K20Ca","K20C",0.788635596,-0.560205271
"100",28.342707765,30,3003,"C","K2","K20Ca","K20C",0.555997366,-0.543081201
"101",28.234722805,31,3105,"C","K2","K20Ca","K20C",0.746269352,-0.613893551
"102",28.191228825,32,3206,"C","K2","K20Ca","K20C",0.317097806,-0.525578608
"103",28.274152915,33,3302,"C","K2","K20Ca","K20C",0.546151244,-0.543998097
"104",28.27707261,34,3403,"C","K2","K20Ca","K20C",0.060195804,-0.437295512
"105",28.56827493,27,2703,"C","K2","K20Cb","K20C",0.478908108,-0.37723661
"106",28.459557645,28,2804,"C","K2","K20Cb","K20C",0.428283689,-0.338682718
"107",28.520001985,29,2906,"C","K2","K20Cb","K20C",0.321501228,-0.3597349
