"","treatment","fragment.ID","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"34","T2","M602b",0.37413377775,8,0.0910335264691739,-0.385888024,0.0183769309057227,0.76002180175,0.108345573755305,32.481480324375,0.0231630579298942
"35","T2","M602c",0.340742834125,8,0.101903182779833,-0.46914762825,0.02072869802403,0.809890462375,0.111423339559565,32.446118331875,0.0286567951721142
"36","T2","M602d",0.39248462425,8,0.0856416787434138,-0.433650841375,0.0171061494018845,0.826135465625,0.0974387325166777,32.397220790625,0.0146553093769702
"37","T3","K203a",0.393559633,8,0.109235993509283,-0.480079837375,0.0255172931525018,0.873639470375,0.117434568750709,27.159810525625,0.0237673382700224
"38","T3","K203b",0.49861216425,8,0.120338608443578,-0.518505256625,0.0262701666979558,1.017117420875,0.141898095052899,27.134712700625,0.0174781797771692
"39","T3","K203c",0.461896555625,8,0.0712237117907434,-0.420494948875,0.0188624602427106,0.8823915045,0.0852817267450472,27.300652773125,0.0148094393765549
"40","T3","K203d",0.430892541375,8,0.0890993738509265,-0.419870276625,0.0235193568633747,0.850762818,0.101367944343257,27.24719431625,0.0192795858350149
"41","T3","M503a",0.334221407375,8,0.0920915353416825,-0.433810241125,0.0349891282022594,0.7680316485,0.123908838129639,30.4002154025,0.0238123104480507
"42","T3","M503b",0.308355560875,8,0.0737426368653968,-0.447745333,0.0265995848124326,0.756100893875,0.0917314550174556,30.421843544375,0.0354642105605724
"43","T3","M503c",0.387616184625,8,0.0684710388959039,-0.4092179975,0.0268292494823788,0.796834182125,0.0811250517384381,30.40679723125,0.0505838393445026
"44","T3","M503d",0.37880661375,8,0.0915814900043775,-0.474227932,0.0233104049541667,0.85303454575,0.101441549685032,30.05960213625,0.0315193484957209
"45","T3","M603a",0.4150910525,8,0.0829720373477401,-0.4063897825,0.0321375523181416,0.821480835,0.104081332288094,32.413994098125,0.0191441088793064
"46","T3","M603b",0.34155474425,8,0.077727024640465,-0.397918318375,0.0262184980497489,0.739473062625,0.0897379634768051,32.469603338125,0.0332933978204577
"47","T3","M603c",0.378696645375,8,0.0968254334580478,-0.4108155275,0.0172875794654518,0.789512172875,0.105547142269011,33.06862720375,0.0215733704223853
"48","T3","M603d",0.508356533875,8,0.102789491023703,-0.469460680875,0.0253738834648632,0.97781721475,0.125897467333143,33.10837431875,0.0312799149888295
