"","Temp.C","temp.Cat","trial","treatment","genotype","fragment.ID","individual.ID","rate.type","umol.cm2.hr","log.rate","K"
"20",26.22156436,"30",3006,"T1","K2","K201c","K201","GP",0.578296021,0.456345797352585,299.37156436
"21",26.32101657,"31",3102,"T1","K2","K201c","K201","GP",1.374653292,0.86485144451436,299.47101657
"22",26.438263855,"32",3203,"T1","K2","K201c","K201","GP",1.290896787,0.828943350950616,299.588263855
"23",26.31917945,"33",3305,"T1","K2","K201c","K201","GP",0.841044261,0.610332943787036,299.46917945
"24",26.422506205,"34",3406,"T1","K2","K201c","K201","GP",0.353988793,0.303054897498665,299.572506205
"25",26.425956665,"27",2704,"T1","K2","K201d","K201","GP",0.841320413,0.610482930018692,299.575956665
"26",26.424582585,"28",2805,"T1","K2","K201d","K201","GP",0.996991159,0.691641627283167,299.574582585
"27",26.464896135,"29",2901,"T1","K2","K201d","K201","GP",1.322394486,0.842598759457466,299.614896135
"28",26.344990565,"30",3002,"T1","K2","K201d","K201","GP",1.034962991,0.7104776324884,299.494990565
"29",26.33136031,"31",3104,"T1","K2","K201d","K201","GP",1.325326144,0.84386030619067,299.48136031
"30",26.34300791,"32",3206,"T1","K2","K201d","K201","GP",0.836736346,0.607990271708123,299.49300791
"31",26.469831565,"33",3301,"T1","K2","K201d","K201","GP",1.294753811,0.830625565863042,299.619831565
"32",26.27403809,"34",3403,"T1","K2","K201d","K201","GP",0.674844205,0.515720149010852,299.42403809
"33",26.31821738,"27",2706,"T2","K2","K202a","K202","GP",0.921630488,0.653174038162765,299.46821738
"34",26.40407251,"28",2801,"T2","K2","K202a","K202","GP",1.111393512,0.747348161726073,299.55407251
"35",26.456289475,"29",2903,"T2","K2","K202a","K202","GP",1.234973843,0.804229524641343,299.606289475
"36",26.46780414,"30",3004,"T2","K2","K202a","K202","GP",0.821359036,0.599582945506662,299.61780414
"37",26.378185845,"31",3106,"T2","K2","K202a","K202","GP",1.110871355,0.747100826696599,299.528185845
"38",26.36363632,"32",3202,"T2","K2","K202a","K202","GP",1.439797006,0.891914841581981,299.51363632
"39",26.34473143,"33",3303,"T2","K2","K202a","K202","GP",1.230809898,0.802364702496701,299.49473143
"40",26.41858541,"34",3405,"T2","K2","K202a","K202","GP",0.540276944,0.431962234023618,299.56858541
"41",26.417124825,"27",2704,"T2","K2","K202b","K202","GP",0.847309106,0.613730042926663,299.567124825
"42",26.435232395,"28",2806,"T2","K2","K202b","K202","GP",0.825225135,0.601703341069869,299.585232395
"43",26.33052757,"29",2901,"T2","K2","K202b","K202","GP",1.096502114,0.740270295975417,299.48052757
"44",26.35410647,"30",3003,"T2","K2","K202b","K202","GP",0.916649681,0.650578704014924,299.50410647
"45",26.34727936,"31",3105,"T2","K2","K202b","K202","GP",0.986005254,0.686125211138112,299.49727936
"46",26.288387995,"32",3206,"T2","K2","K202b","K202","GP",0.547390645,0.436570057490023,299.438387995
"47",26.28127358,"33",3302,"T2","K2","K202b","K202","GP",0.80222701,0.589023127944313,299.43127358
"48",26.37220693,"34",3403,"T2","K2","K202b","K202","GP",0.276196233,0.243883960716049,299.52220693
"49",27.0920342,"27",2703,"T2","K2","K202c","K202","GP",0.913697041,0.649036994713321,300.2420342
"50",27.124964555,"28",2804,"T2","K2","K202c","K202","GP",0.943417673,0.664448110237981,300.274964555
"51",27.165666485,"29",2906,"T2","K2","K202c","K202","GP",0.880958536,0.631781506482097,300.315666485
"52",27.17359155,"30",3001,"T2","K2","K202c","K202","GP",1.013793783,0.700020397296281,300.32359155
