"","fragment.ID.full","Intercept","umol.L.sec","Temp.C"
"73","Blk1_3301",161.196508791472,-0.00214342184272363,32.4347185303672
"74","Blk1_3301D",158.224568790367,-0.00174184683708721,32.5195685792785
"75","Blk1_3302",147.329235625344,-0.00268321926207306,32.3604910411861
"76","Blk1_3302D",143.32899448169,-0.00201784256938333,32.3646191968955
"77","Blk1_3303",135.479670339279,-0.00238927573795986,32.2960723400806
"78","Blk1_3303D",133.049127531015,-0.00159220879990929,32.3308603231257
"79","Blk1_3304",127.97051364368,-0.00160946721689895,32.4695868258752
"80","Blk1_3304D",125.89976397028,-0.00148522358212536,32.4457314351902
"81","Blk1_3305",117.242554722611,-0.00221359231639234,32.2823165384575
"82","Blk1_3305D",114.534348337205,-0.00176402771170274,32.4108276940693
"83","Blk1_3306",115.016793351616,-0.00240244248866766,32.4305423832887
"84","Blk1_3306D",112.665159962051,-0.00135146702282015,32.3656764933142
"85","Blk1_3401",170.800228642663,-0.000651741266792889,33.0703698632254
"86","Blk1_3401D",170.14833736128,-0.000802412813480146,33.1046996979371
"87","Blk1_3402",153.278699911599,-0.0025934755130268,33.0887262757198
"88","Blk1_3402D",150.433089320184,-0.00124609115713889,33.1878281551964
"89","Blk1_3403",153.960967155885,-0.00342003739477373,33.0817142796791
"90","Blk1_3403D",150.293954328411,-0.00268778306904102,33.1001856521549
"91","Blk1_3404",136.60635187036,-0.00295455337141937,33.1026912482598
"92","Blk1_3404D",133.582850902333,-0.00199945723280272,33.1099829485213
"93","Blk1_3405",127.124815934568,-0.00265517598659689,33.0818829676661
"94","Blk1_3405D",124.628385308023,-0.00172317789765218,33.1303954750726
"95","Blk1_3406",119.909515081116,-0.00258616637866317,32.8085781187398
"96","Blk1_3406D",117.379706065203,-0.00187947324463795,32.9629525556193
"97","Blk1_3407",116.957333631179,-0.00255731137594778,32.9274259854635
"98","Blk1_3407D",114.512751369635,-0.00179514289390837,32.9978098838751
"99","Blk2_2701",174.163672056057,-0.000476423309211248,26.3758055632274
"100","Blk2_2701D",173.558503973739,-0.000481527964602242,26.3350879609728
"101","Blk2_2702",159.432204033819,-0.000365256754653651,26.3615418783766
"102","Blk2_2702D",159.013914709003,-0.000271031551887992,26.3930223354302
"103","Blk2_2703",162.577348905156,-0.000439214887734689,26.3210821882036
"104","Blk2_2703D",162.04673486573,-0.000539309205581104,26.3073781467551
"105","Blk2_2704",161.857691513485,-0.000722456527114241,26.3962691673682
"106","Blk2_2704D",161.180396875405,-0.000684525719069947,26.3402638658259
"107","Blk2_2705",160.402596778456,-0.000705793480114762,26.3303687758402
"108","Blk2_2705D",159.659067494596,-0.000761785486699859,26.2992072276551
"109","Blk2_2706",154.759704998617,-0.000762149856406496,26.4463347720415
"110","Blk2_2706D",154.090813448342,-0.000589780390222193,26.398903755834
"111","Blk2_2801",206.896656657297,5.35816855765492e-05,27.0873857186773
"112","Blk2_2801D",206.916950451265,-0.000184948593694101,27.0451544258084
"113","Blk2_2802",191.540815354294,-0.000620389839820581,27.1973506148991
"114","Blk2_2802D",190.848118069369,-0.000538438194315085,27.1779412725311
"115","Blk2_2803",186.175175099627,-0.000795145082704796,27.1199059023094
"116","Blk2_2803D",185.225316061818,-0.00088196317220856,27.1436116521586
"117","Blk2_2804",180.736208687637,-0.000998393526644557,27.186663190352
"118","Blk2_2804D",179.614439094563,-0.000945986867727144,27.1464864038509
"119","Blk2_2805",174.660188465626,-0.00129956969686647,27.3764787679303
"120","Blk2_2805D",172.902140244146,-0.00146605726033585,27.3086392790002
"121","Blk2_2806",165.543453165747,-0.00145689642415125,27.1604581078852
"122","Blk2_2806D",163.682177265454,-0.00161511950721257,27.1018336912526
"123","Blk2_2901",196.736603441433,-0.000114663240783832,28.2734881930901
"124","Blk2_2901D",196.657686239033,-0.000308181024876042,28.1937826323964
"125","Blk2_2902",210.987407696248,-9.37598796957972e-05,28.4261823989236
"126","Blk2_2902D",210.889976217488,-0.000115235677596138,28.4156011007822
"127","Blk2_2903",166.281161384716,-0.000563577846904532,28.2978459911351
"128","Blk2_2903D",165.478676353646,-0.000368216798439096,28.263569056381
"129","Blk2_2904",179.205552932239,-0.000351831532115383,28.6454550039593
"130","Blk2_2904D",178.77720980375,-0.000230000741369945,28.4398077166964
"131","Blk2_2905",171.995545012229,-0.0013923659121641,28.2971198928497
"132","Blk2_2905D",169.840032076182,-0.00156976377539564,28.2473655755853
"133","Blk2_2906",172.050603929819,-0.00201087150052084,28.1044689933332
"134","Blk2_2906D",170.046425395645,-0.0018261596015985,28.1386942642117
