"","Temp.C","temp.Cat","trial","treatment","genotype","fragment.ID","individual.ID","rate.type","umol.cm2.hr"
"331",32.37126328,29,2903,"T3","M6","M603b","M603","NP",0.525040005
"332",32.56344148,30,3004,"T3","M6","M603b","M603","NP",0.134739179
"333",32.519777345,31,3106,"T3","M6","M603b","M603","NP",0.269718375
"334",32.480980655,32,3202,"T3","M6","M603b","M603","NP",0.68298272
"335",32.28836503,33,3303,"T3","M6","M603b","M603","NP",0.39838894
"336",32.48209671,34,3405,"T3","M6","M603b","M603","NP",-0.023920108
"337",33.12116363,27,2706,"T3","M6","M603c","M603","NP",0.355377965
"338",33.08150393,28,2802,"T3","M6","M603c","M603","NP",0.47875776
"339",33.015058935,29,2903,"T3","M6","M603c","M603","NP",0.574902865
"340",33.036622965,30,3005,"T3","M6","M603c","M603","NP",0.09999568
"341",33.05494463,31,3101,"T3","M6","M603c","M603","NP",0.628152204
"342",33.083059005,32,3202,"T3","M6","M603c","M603","NP",0.672236238
"343",33.174922625,33,3304,"T3","M6","M603c","M603","NP",0.339829025
"344",32.98174191,34,3405,"T3","M6","M603c","M603","NP",-0.119678574
"345",33.226481185,27,2702,"T3","M6","M603d","M603","NP",0.509121838
"346",33.203642755,28,2804,"T3","M6","M603d","M603","NP",0.584014477
"347",33.158120295,29,2905,"T3","M6","M603d","M603","NP",0.609857928
"348",33.013744635,30,3001,"T3","M6","M603d","M603","NP",0.732579815
"349",33.117356915,31,3103,"T3","M6","M603d","M603","NP",0.802720684
"350",33.008670785,32,3204,"T3","M6","M603d","M603","NP",0.684860872
"351",33.00910734,33,3306,"T3","M6","M603d","M603","NP",0.186939306
"352",33.12987064,34,3401,"T3","M6","M603d","M603","NP",-0.043242649
"353",33.27791239,27,2706,"C","M6","M60Ca","M60C","NP",0.352355268
"354",33.17628505,28,2802,"C","M6","M60Ca","M60C","NP",0.53350169
"355",33.11838559,29,2903,"C","M6","M60Ca","M60C","NP",0.601766607
"356",33.141422645,30,3005,"C","M6","M60Ca","M60C","NP",0.122368107
"357",33.234129785,31,3101,"C","M6","M60Ca","M60C","NP",0.759320086
"358",33.12939257,32,3202,"C","M6","M60Ca","M60C","NP",0.684099618
"359",33.21998648,33,3304,"C","M6","M60Ca","M60C","NP",0.220361593
"360",33.180355475,34,3405,"C","M6","M60Ca","M60C","NP",-0.121755419
"361",33.11741915,27,2704,"C","M6","M60Cb","M60C","NP",0.494462715
"362",33.13844721,28,2805,"C","M6","M60Cb","M60C","NP",0.433817137
"363",33.26058838,29,2901,"C","M6","M60Cb","M60C","NP",0.629119788
"364",33.179211335,30,3002,"C","M6","M60Cb","M60C","NP",0.528071937
"365",33.230027065,31,3104,"C","M6","M60Cb","M60C","NP",0.613756496
"366",33.14598954,32,3206,"C","M6","M60Cb","M60C","NP",0.130665913
"367",33.093841335,33,3301,"C","M6","M60Cb","M60C","NP",0.327425606
"368",33.25299153,34,3403,"C","M6","M60Cb","M60C","NP",0.01870648
"369",32.974775725,27,2706,"C","M6","M60Cc","M60C","NP",0.379942137
"370",33.018056475,28,2801,"C","M6","M60Cc","M60C","NP",0.457770061
"371",33.21034995,29,2903,"C","M6","M60Cc","M60C","NP",0.640090495
"372",33.072978985,30,3004,"C","M6","M60Cc","M60C","NP",0.189320791
"373",33.094313525,31,3106,"C","M6","M60Cc","M60C","NP",0.271801105
"374",33.130887935,32,3202,"C","M6","M60Cc","M60C","NP",0.669022717
"375",33.144474,33,3303,"C","M6","M60Cc","M60C","NP",0.337348472
"376",33.02319064,34,3405,"C","M6","M60Cc","M60C","NP",-0.203860065
"377",33.206904665,27,2705,"C","M6","M60Cd","M60C","NP",0.456488981
"378",33.0637045,28,2801,"C","M6","M60Cd","M60C","NP",0.50509605
"379",33.182787155,29,2902,"C","M6","M60Cd","M60C","NP",0.669910583
"380",33.144113265,30,3004,"C","M6","M60Cd","M60C","NP",0.218887923
"381",33.13343354,31,3106,"C","M6","M60Cd","M60C","NP",0.303254051
"382",32.994130505,32,3201,"C","M6","M60Cd","M60C","NP",0.718655063
