"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","genotype","run","temp.Cat","light_dark","treatment","surf.area.cm2","volume.mls","volume","umol.sec","BLANK","blank.rate"
"57","Blk1_3105",143.097580077085,-0.0024021331819055,29.9219118649634,"Blk1","BLANK","3105",31,"light","BLANK",NA,620,0.62,-0.00148932257278141,"1",-0.00146388082624255
"58","Blk1_3105D",140.588055809472,-0.00176617996241901,30.0718046873127,"Blk1","BLANK","3105D",31,"dark","BLANK",NA,620,0.62,-0.00109503157669978,"1",-0.00109415023775525
"59","Blk1_3106",134.276850283046,-0.00283079262755475,29.7964579847757,"Blk1","BLANK","3106",31,"light","BLANK",NA,620,0.62,-0.00175509142908394,"1",-0.0017630679797247
"60","Blk1_3106D",130.72741138931,-0.00272860693249418,29.8979411777118,"Blk1","BLANK","3106D",31,"dark","BLANK",NA,620,0.62,-0.00169173629814639,"1",-0.00170452680161095
"61","Blk1_3201",167.217600406935,-0.00119795326617143,31.428392475935,"Blk1","BLANK","3201",32,"light","BLANK",NA,620,0.62,-0.000742731025026288,"1",-0.00090969703832526
"62","Blk1_3201D",166.022196917087,-0.000877023789945599,31.4040502745929,"Blk1","BLANK","3201D",32,"dark","BLANK",NA,620,0.62,-0.000543754749766271,"1",-0.000652855648792728
"63","Blk1_3202",154.759042650938,-0.00101536961620881,31.2615909432251,"Blk1","BLANK","3202",32,"light","BLANK",NA,620,0.62,-0.000629529162049461,"1",-0.000568562917390246
"64","Blk1_3202D",153.665995668767,-0.00109054347279966,31.2841955414241,"Blk1","BLANK","3202D",32,"dark","BLANK",NA,620,0.62,-0.00067613695313579,"1",-0.000687037954324743
"65","Blk1_3203",150.607926375226,-0.00131525549203484,31.3385545606856,"Blk1","BLANK","3203",32,"light","BLANK",NA,620,0.62,-0.000815458405061599,"1",-0.000797610320689466
"66","Blk1_3203D",149.309110809408,-0.00107525367847804,31.3840247850666,"Blk1","BLANK","3203D",32,"dark","BLANK",NA,620,0.62,-0.000666657280656384,"1",-0.000719113504557695
"67","Blk1_3204",145.181807602964,-0.00281005174153143,31.2416087923455,"Blk1","BLANK","3204",32,"light","BLANK",NA,620,0.62,-0.00174223207974949,"1",-0.0017948350809973
"68","Blk1_3204D",142.163344088552,-0.00156762460161663,31.3576535412589,"Blk1","BLANK","3204D",32,"dark","BLANK",NA,620,0.62,-0.000971927253002309,"1",-0.00110786857695574
"69","Blk1_3205",137.640931105938,-0.00356799995326943,31.410735438506,"Blk1","BLANK","3205",32,"light","BLANK",NA,620,0.62,-0.00221215997102705,"1",-0.00221215997102705
"70","Blk1_3205D",133.915152427016,-0.00308576165836392,31.4256834911202,"Blk1","BLANK","3205D",32,"dark","BLANK",NA,620,0.62,-0.00191317222818563,"1",-0.00191317222818563
"71","Blk1_3206",127.669671406824,-0.00298288486223542,30.9821847178003,"Blk1","BLANK","3206",32,"light","BLANK",NA,620,0.62,-0.00184938861458596,"1",-0.001838183412601
"72","Blk1_3206D",124.41817440647,-0.00263941072037022,31.1336709322905,"Blk1","BLANK","3206D",32,"dark","BLANK",NA,620,0.62,-0.00163643464662954,"1",-0.0016480517580071
"73","Blk1_3301",161.196508791472,-0.00214342184272363,32.4347185303672,"Blk1","BLANK","3301",33,"light","BLANK",NA,620,0.62,-0.00132892154248865,"1",-0.0011606678730526
"74","Blk1_3301D",158.224568790367,-0.00174184683708721,32.5195685792785,"Blk1","BLANK","3301D",33,"dark","BLANK",NA,620,0.62,-0.00107994503899407,"1",-0.000949274335273581
"75","Blk1_3302",147.329235625344,-0.00268321926207306,32.3604910411861,"Blk1","BLANK","3302",33,"light","BLANK",NA,620,0.62,-0.0016635959424853,"1",-0.00156549097717531
"76","Blk1_3302D",143.32899448169,-0.00201784256938333,32.3646191968955,"Blk1","BLANK","3302D",33,"dark","BLANK",NA,620,0.62,-0.00125106239301766,"1",-0.00112683759479283
"77","Blk1_3303",135.479670339279,-0.00238927573795986,32.2960723400806,"Blk1","BLANK","3303",33,"light","BLANK",NA,620,0.62,-0.00148135095753512,"1",-0.00136296329817683
"78","Blk1_3303D",133.049127531015,-0.00159220879990929,32.3308603231257,"Blk1","BLANK","3303D",33,"dark","BLANK",NA,620,0.62,-0.000987169455943758,"1",-0.000960609111067687
"79","Blk1_3304",127.97051364368,-0.00160946721689895,32.4695868258752,"Blk1","BLANK","3304",33,"light","BLANK",NA,620,0.62,-0.000997869674477352,"1",-0.00097727328841093
"80","Blk1_3304D",125.89976397028,-0.00148522358212536,32.4457314351902,"Blk1","BLANK","3304D",33,"dark","BLANK",NA,620,0.62,-0.000920838620917725,"1",-0.00089122491429647
"81","Blk1_3305",117.242554722611,-0.00221359231639234,32.2823165384575,"Blk1","BLANK","3305",33,"light","BLANK",NA,620,0.62,-0.00137242723616325,"1",-0.00150263552007718
"82","Blk1_3305D",114.534348337205,-0.00176402771170274,32.4108276940693,"Blk1","BLANK","3305D",33,"dark","BLANK",NA,620,0.62,-0.0010936971812557,"1",-0.00107802483388282
"83","Blk1_3306",115.016793351616,-0.00240244248866766,32.4305423832887,"Blk1","BLANK","3306",33,"light","BLANK",NA,620,0.62,-0.00148951434297395,"1",-0.00120987816701275
"84","Blk1_3306D",112.665159962051,-0.00135146702282015,32.3656764933142,"Blk1","BLANK","3306D",33,"dark","BLANK",NA,620,0.62,-0.000837909554148491,"1",-0.000784077828022438
"85","Blk1_3401",170.800228642663,-0.000651741266792889,33.0703698632254,"Blk1","BLANK","3401",34,"light","BLANK",NA,620,0.62,-0.000404079585411591,"1",-0.000490967835114409
"86","Blk1_3401D",170.14833736128,-0.000802412813480146,33.1046996979371,"Blk1","BLANK","3401D",34,"dark","BLANK",NA,620,0.62,-0.000497495944357691,"1",-0.000508912799752057
"87","Blk1_3402",153.278699911599,-0.0025934755130268,33.0887262757198,"Blk1","BLANK","3402",34,"light","BLANK",NA,620,0.62,-0.00160795481807661,"1",-0.00145289626459567
"88","Blk1_3402D",150.433089320184,-0.00124609115713889,33.1878281551964,"Blk1","BLANK","3402D",34,"dark","BLANK",NA,620,0.62,-0.000772576517426111,"1",-0.00070330612655222
"89","Blk1_3403",153.960967155885,-0.00342003739477373,33.0817142796791,"Blk1","BLANK","3403",34,"light","BLANK",NA,620,0.62,-0.00212042318475971,"1",-0.00182899460229659
"90","Blk1_3403D",150.293954328411,-0.00268778306904102,33.1001856521549,"Blk1","BLANK","3403D",34,"dark","BLANK",NA,620,0.62,-0.00166642550280543,"1",-0.00142094873047685
