"","treatment","fragment.ID","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"17","T1","M501a",0.322269815820736,8,0.0723965702866912,0.386524415255764,0.0148398903924762,0.61697312312257,0.0622939362315994,28.32162451,0.0147423480983384
"18","T1","M501b",0.332161367145505,8,0.0714256364116281,0.392824885212028,0.0189140289758766,0.631631364516697,0.0556809052326643,28.206926226875,0.0192331393241205
"19","T1","M501c",0.381568842831212,8,0.0603332669453676,0.405035247471472,0.0101442051204723,0.675739374952868,0.0502672544801806,29.074829305,0.0283561283939937
"20","T1","M501d",0.341118453094023,8,0.0624757377133404,0.408624926208865,0.0181518837291093,0.64847933213029,0.0536203225074092,29.40582509,0.0219350571587239
"21","T1","M601a",0.419980854165747,8,0.0537595169926518,0.357363406815843,0.0165873752791507,0.668014625028232,0.0515916984520911,31.338079058125,0.0201760915294235
"22","T1","M601b",0.424855730109248,8,0.0971359224675948,0.421734094626655,0.0136537908233319,0.722611910226756,0.0783084597098822,31.2830840225,0.0217322096124049
"23","T1","M601c",0.370642358272051,8,0.0686901148774911,0.372370034716223,0.0298322197950861,0.641251751536274,0.0674118257254429,31.33012742375,0.0253636647826623
"24","T1","M601d",0.363513675506261,8,0.062827055936996,0.327080922187298,0.0199706619926151,0.601381140690834,0.0598831374884012,31.315321454375,0.0202129301114465
"25","T2","K202a",0.418813576814494,8,0.0592870109740873,0.413302704630257,0.0154992557862368,0.709709659354468,0.0510602320242,26.39394031375,0.0186007570723955
"26","T2","K202b",0.310496908983791,8,0.0649248960457374,0.338435060644162,0.0143202687341834,0.570235592659421,0.0561255035589175,26.353267390625,0.0194113574867925
"27","T2","K202c",0.3858996982375,8,0.0447507666973016,0.362186385802012,0.0155834487660835,0.645733838152307,0.0412131126985644,27.1375106275,0.0165979216611417
"28","T2","K202d",0.385966962061485,8,0.0771523165286441,0.40469673499724,0.0147125301709309,0.68132564015173,0.0584794960148715,27.121734071875,0.0303410243549083
"29","T2","M502a",0.28846933660583,8,0.0697800855207077,0.409450851275832,0.0241728268300471,0.608243812020536,0.0672757282396242,29.306760703125,0.0160190894081799
"30","T2","M502b",0.28738854621639,8,0.0747254352237622,0.377267102037424,0.0175916305260417,0.584591860717996,0.0620557171046371,29.311074541875,0.0197980716516492
"31","T2","M502c",0.261177641319769,8,0.070439360184746,0.336353901582952,0.0162804025512799,0.529832083549482,0.0628268037200482,29.248546114375,0.0183480814801122
"32","T2","M502d",0.314246046279215,8,0.0668337472865633,0.371373793308484,0.0214938095258377,0.597111695935398,0.0636700231772132,29.42180793,0.023090120436263
"33","T2","M602a",0.282503475935787,8,0.0783884264297964,0.341137739154248,0.0138277543177435,0.550244364909298,0.068772625841616,32.487003524375,0.0248345921627251
"34","T2","M602b",0.301109961500497,8,0.0706934213997498,0.325733242231645,0.0131385159318444,0.551276481716537,0.0643650773862071,32.481480324375,0.0231630579298942
"35","T2","M602c",0.269597423319681,8,0.085664970021678,0.383976897095157,0.0142415576893202,0.578462423173208,0.0669632057319018,32.446118331875,0.0286567951721142
"36","T2","M602d",0.315020357485973,8,0.0712925442364081,0.359718263000267,0.0120694041706395,0.590397739215874,0.0606905695742282,32.397220790625,0.0146553093769702
"37","T3","K203a",0.308343482073338,8,0.0838956390997535,0.391066106493501,0.0171117981154273,0.613769887908969,0.063999178813714,27.159810525625,0.0237673382700224
"38","T3","K203b",0.378199883616854,8,0.0903540443886321,0.416687716644397,0.0171925215988606,0.682334927538567,0.0765609316811806,27.134712700625,0.0174781797771692
"39","T3","K203c",0.370299480383064,8,0.0536752105606766,0.350392944824226,0.0132031565628403,0.624656710095433,0.048668215889332,27.300652773125,0.0148094393765549
"40","T3","K203d",0.343305553877477,8,0.0671866005476446,0.349603283711457,0.0165900711385604,0.604121363751116,0.0586031733287874,27.24719431625,0.0192795858350149
"41","T3","M503a",0.269233545649536,8,0.0764434308250647,0.358269853700139,0.0242449019629056,0.550563893878265,0.0764712122119542,30.4002154025,0.0238123104480507
"42","T3","M503b",0.256714766729827,8,0.0599201157352731,0.368855066438468,0.0180350648141811,0.552999473400247,0.0545070084842293,30.421843544375,0.0354642105605724
"43","T3","M503c",0.318332884842079,8,0.0526011585412937,0.341783498356171,0.0188466024087527,0.578132079188031,0.0487733825701978,30.40679723125,0.0505838393445026
"44","T3","M503d",0.304733822221021,8,0.0698304665445589,0.387235555637609,0.0161342822315302,0.605325670499169,0.0587447364285449,30.05960213625,0.0315193484957209
"45","T3","M603a",0.333937458529941,8,0.0631443866791606,0.339190292746565,0.0229302938673239,0.586809072420636,0.0624276453253892,32.413994098125,0.0191441088793064
"46","T3","M603b",0.281518482398131,8,0.0601109524476217,0.333730983761017,0.0190090018986165,0.543410852276121,0.0552283803598454,32.469603338125,0.0332933978204577
"47","T3","M603c",0.301432996421185,8,0.0776644735411604,0.343638552284215,0.0123208905249598,0.568254392114266,0.0644775380457298,33.06862720375,0.0215733704223853
"48","T3","M603d",0.391925039944369,8,0.0769525821709906,0.38383667896328,0.0174568847440372,0.665766788873036,0.0704401716041128,33.10837431875,0.0312799149888295
