"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","genotype","run","temp.Cat","light_dark","treatment","surf.area.cm2","volume.mls","volume","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.cm2.hr","rate.type","individual.ID"
"394","M503a_3102D",167.070714475197,-0.00892405414855989,30.3750206136314,"M503a","M5","3102D",31,"dark","T3",26.05852853,610.75,0.61075,-0.00545036607123295,0,-0.00104742878541714,-0.00440293728581581,-0.608268199437619,"R","M503"
"395","M503a_3203",157.95266686956,0.00524215950567323,31.3976932715979,"M503a","M5","3203",32,"light","T3",26.05852853,610.75,0.61075,0.00320164891808992,0,-0.000797610320689466,0.00399925923877939,0.552499855969642,"NP","M503"
"396","M503a_3203D",159.699106381122,-0.0071362604442023,31.3842343249402,"M503a","M5","3203D",32,"dark","T3",26.05852853,610.75,0.61075,-0.00435847106629656,0,-0.000719113504557695,-0.00363935756173886,-0.50277924201194,"R","M503"
"397","M503a_3305",121.903942416308,0.000959070241860745,32.3572303087487,"M503a","M5","3305",33,"light","T3",26.05852853,610.75,0.61075,0.00058575215021645,0,-0.00150263552007718,0.00208838767029363,0.288511901368556,"NP","M503"
"398","M503a_3305D",119.545547410164,-0.00643235584409339,32.4173841488585,"M503a","M5","3305D",33,"dark","T3",26.05852853,610.75,0.61075,-0.00392856133178004,0,-0.00107802483388282,-0.00285053649789722,-0.393803179662117,"R","M503"
"399","M503a_3406",120.101797823371,-0.00348335892978265,33.1052751484431,"M503a","M5","3406",34,"light","T3",26.05852853,610.75,0.61075,-0.00212746146636475,0,-0.001389720716516,-0.000737740749848756,-0.101919288972819,"NP","M503"
"400","M503a_3406D",115.574060413132,-0.00531027371785618,33.1829513835817,"M503a","M5","3406D",34,"dark","T3",26.05852853,610.75,0.61075,-0.00324324967318066,0,-0.00109170067751557,-0.00215154899566509,-0.297237673089529,"R","M503"
"401","M503b_2703",163.568318481338,0.00452409360948122,26.3336367586385,"M503b","M5","2703",27,"light","T3",29.24736086,609.125,0.609125,0.00275573851987525,0,-0.000280198141646153,0.0030359366615214,0.373687459658097,"NP","M503"
"402","M503b_2703D",165.237945113024,-0.00641751116715468,26.3047221429217,"M503b","M5","2703D",27,"dark","T3",29.24736086,609.125,0.609125,-0.0039090664896931,0,-0.000330600998008154,-0.00357846549168494,-0.440466264006899,"R","M503"
"403","M503b_2804",184.705380434511,0.00432334421771103,27.1393223048155,"M503b","M5","2804",28,"light","T3",29.24736086,609.125,0.609125,0.00263345704661323,0,-0.000693769818509738,0.00332722686512297,0.4095417966694,"NP","M503"
"404","M503b_2804D",185.557598170144,-0.00744687816598379,27.1039988487655,"M503b","M5","2804D",28,"dark","T3",29.24736086,609.125,0.609125,-0.00453607966285488,0,-0.000631231383853195,-0.00390484827900168,-0.480640077978169,"R","M503"
"405","M503b_2906",164.971411939009,0.00124078514867784,28.21418747723,"M503b","M5","2906",29,"light","T3",29.24736086,609.125,0.609125,0.000755793253688392,0,-0.00116399261891965,0.00191978587260805,0.236302659049182,"NP","M503"
"406","M503b_2906D",162.723706334222,-0.0080926738742957,28.22087383606,"M503b","M5","2906D",29,"dark","T3",29.24736086,609.125,0.609125,-0.00492944997368037,0,-0.00109114408591509,-0.00383830588776528,-0.472449506199822,"R","M503"
"407","M503b_3001",181.488069549365,0.00514026179929082,29.1091524105606,"M503b","M5","3001",30,"light","T3",29.24736086,609.125,0.609125,0.00313106196849302,0,-0.00136760501875597,0.00449866698724899,0.553732052324955,"NP","M503"
"408","M503b_3001D",183.288615319297,-0.00837093669513731,29.0744828016339,"M503b","M5","3001D",30,"dark","T3",29.24736086,609.125,0.609125,-0.00509894681442551,0,-0.00145734177648571,-0.0036416050379398,-0.448237986303674,"R","M503"
"409","M503b_3103",161.163641729627,0.00482564328465925,30.5121808421294,"M503b","M5","3103",31,"light","T3",29.24736086,609.125,0.609125,0.00293941996576806,0,-0.00115777987582816,0.00409719984159623,0.504316252681761,"NP","M503"
"410","M503b_3103D",161.372065937546,-0.00976188092607398,30.3420691215655,"M503b","M5","3103D",31,"dark","T3",29.24736086,609.125,0.609125,-0.00594620571909482,0,-0.00107404755255364,-0.00487215816654117,-0.59970434541109,"R","M503"
"411","M503b_3205",137.455331607994,0.00127170586775188,31.4270557670605,"M503b","M5","3205",32,"light","T3",29.24736086,609.125,0.609125,0.000774627836694362,0,-0.00221215997102705,0.00298678780772141,0.367637824119119,"NP","M503"
"412","M503b_3205D",136.156156809176,-0.00800024101803283,31.4120252824202,"M503b","M5","3205D",32,"dark","T3",29.24736086,609.125,0.609125,-0.00487314681010924,0,-0.00191317222818563,-0.00295997458192361,-0.364337437006103,"R","M503"
"413","M503b_3306",113.672995418009,-0.00113371634147639,32.5377040147216,"M503b","M5","3306",33,"light","T3",29.24736086,609.125,0.609125,-0.000690574966501808,0,-0.00120987816701275,0.000519303200510946,0.0639200073739373,"NP","M503"
"414","M503b_3306D",110.130867771209,-0.00671334215821008,32.4242573014621,"M503b","M5","3306D",33,"dark","T3",29.24736086,609.125,0.609125,-0.00408926454211972,0,-0.000784077828022438,-0.00330518671409728,-0.406828917922074,"R","M503"
"415","M503b_3402",155.823339280119,-0.00294931331916825,32.9521349026474,"M503b","M5","3402",34,"light","T3",29.24736086,609.125,0.609125,-0.00179650047553836,0,-0.00145289626459567,-0.000343604210942693,-0.0422935650609569,"NP","M503"
"416","M503b_3402D",150.957319817742,-0.00608016860682678,33.0660797763909,"M503b","M5","3402D",34,"dark","T3",29.24736086,609.125,0.609125,-0.00370358270263336,0,-0.00070330612655222,-0.00300027657608114,-0.369298130029368,"R","M503"
"417","M503c_2705",149.744106562475,0.00231168727785883,26.4434753093433,"M503c","M5","2705",27,"light","T3",18.43576958,611.75,0.61175,0.00141417469223014,0,-0.000462089919261051,0.00187626461149119,0.36638300191688,"NP","M503"
"418","M503c_2705D",150.304268593086,-0.00352411633600893,26.3646697120086,"M503c","M5","2705D",27,"dark","T3",18.43576958,611.75,0.61175,-0.00215587816855346,0,-0.000412565460653462,-0.0017433127079,-0.34042114277933,"R","M503"
"419","M503c_2806",166.18793450083,0.00132656683525399,27.2512711779591,"M503c","M5","2806",28,"light","T3",18.43576958,611.75,0.61175,0.000811527261466628,0,-0.000995615818379439,0.00180714307984607,0.352885463186932,"NP","M503"
"420","M503c_2806D",164.746332426946,-0.00504250554382392,27.1852502927488,"M503c","M5","2806D",28,"dark","T3",18.43576958,611.75,0.61175,-0.00308475276643428,0,-0.0010056114985702,-0.00207914126786408,-0.405999246835384,"R","M503"
"421","M503c_2902",209.38383969842,0.00488096289775326,28.4658254830574,"M503c","M5","2902",29,"light","T3",18.43576958,611.75,0.61175,0.00298592905270055,0,-4.7492723859055e-05,0.00303342177655961,0.592344048792054,"NP","M503"
"422","M503c_2902D",211.652765086528,-0.00377513420208734,28.4532898077712,"M503c","M5","2902D",29,"dark","T3",18.43576958,611.75,0.61175,-0.00230943834812693,0,-3.71346155437918e-05,-0.00227230373258314,-0.443718576639929,"R","M503"
"423","M503c_3003",150.270636577925,-0.000471553362526478,29.336205677664,"M503c","M5","3003",30,"light","T3",18.43576958,611.75,0.61175,-0.000288472769525573,0,-0.00198524759884566,0.00169677482932009,0.331333571893792,"NP","M503"
"424","M503c_3003D",147.748032376849,-0.00701848309554337,29.3720332390693,"M503c","M5","3003D",30,"dark","T3",18.43576958,611.75,0.61175,-0.00429355703369865,0,-0.00186499962690864,-0.00242855740679002,-0.474230632277411,"R","M503"
"425","M503c_3105",149.81451119621,0.00070366641684985,29.8772555287039,"M503c","M5","3105",31,"light","T3",18.43576958,611.75,0.61175,0.000430467930507895,0,-0.00146388082624255,0.00189434875675044,0.36991433933411,"NP","M503"
"426","M503c_3105D",148.214257123621,-0.00633519209271384,30.0197377789339,"M503c","M5","3105D",31,"dark","T3",18.43576958,611.75,0.61175,-0.00387555376271769,0,-0.00109415023775525,-0.00278140352496244,-0.543131798562259,"R","M503"
"427","M503c_3201",172.407434259878,0.00394121568976266,31.2894356660229,"M503c","M5","3201",32,"light","T3",18.43576958,611.75,0.61175,0.00241103869821231,0,-0.00090969703832526,0.00332073573653757,0.648448582504753,"NP","M503"
"428","M503c_3201D",173.90042135548,-0.00441505997803295,31.29890924301,"M503c","M5","3201D",32,"dark","T3",18.43576958,611.75,0.61175,-0.00270091294156166,0,-0.000652855648792728,-0.00204805729276893,-0.399929399311149,"R","M503"
"429","M503c_3302",148.54146345024,0.00106803455123357,32.4869102433888,"M503c","M5","3302",33,"light","T3",18.43576958,611.75,0.61175,0.000653370136717138,0,-0.00156549097717531,0.00221886111389245,0.433282699447409,"NP","M503"
"430","M503c_3302D",144.817696857789,-0.00477085840970334,32.4371418631864,"M503c","M5","3302D",33,"dark","T3",18.43576958,611.75,0.61175,-0.00291857263213602,0,-0.00112683759479283,-0.00179173503734319,-0.349876695217161,"R","M503"
"431","M503c_3404",134.095984762382,-0.00291558989665263,33.1448568330388,"M503c","M5","3404",34,"light","T3",18.43576958,611.75,0.61175,-0.00178361211927724,0,-0.00181606813952295,3.24560202457093e-05,0.00633777029906628,"NP","M503"
"432","M503c_3404D",130.172656369572,-0.00455643536418441,33.132037591191,"M503c","M5","3404D",34,"dark","T3",18.43576958,611.75,0.61175,-0.00278739933403981,0,-0.00116691317298271,-0.0016204861610571,-0.31643648801807,"R","M503"
"433","M503d_2705",165.384067346943,0.00674848435707498,26.4955093973151,"M503d","M5","2705",27,"light","T3",37.26302225,610,0.61,0.00411657545781574,0,-0.000462089919261051,0.00457866537707679,0.442347248349574,"NP","M503"
"434","M503d_2705D",168.06690521656,-0.00768930583030365,26.4170695533294,"M503d","M5","2705D",27,"dark","T3",37.26302225,610,0.61,-0.00469047655648523,0,-0.000412565460653462,-0.00427791109583176,-0.413291220493913,"R","M503"
"435","M503d_2801",207.160647719147,0.00719747258607501,27.1885963349658,"M503d","M5","2801",28,"light","T3",37.26302225,610,0.61,0.00439045827750576,0,-0.000103801311043498,0.00449425958854925,0.434192761130032,"NP","M503"
"436","M503d_2801D",208.859358338021,-0.00931732920726849,27.1427366369844,"M503d","M5","2801D",28,"dark","T3",37.26302225,610,0.61,-0.00568357081643378,0,-0.000169487476733313,-0.00551408333970047,-0.532718465231887,"R","M503"
"437","M503d_2902",222.569612231858,0.0116711088585567,28.5403716778791,"M503d","M5","2902",29,"light","T3",37.26302225,610,0.61,0.00711937640371957,0,-4.7492723859055e-05,0.00716686912757862,0.692394961583746,"NP","M503"
"438","M503d_2902D",228.267539530585,-0.00829030052772351,28.499632286587,"M503d","M5","2902D",29,"dark","T3",37.26302225,610,0.61,-0.00505708332191134,0,-3.71346155437918e-05,-0.00501994870636755,-0.484979860776676,"R","M503"
