,fragment.ID.full,Intercept,umol.L.sec,Temp.C,fragment.ID,genotype,run,trial,temp.Cat,light_dark,treatment,surf.area.cm2,volume.mls,volume,umol.sec,BLANK,blank.rate,umol.sec.corr,umol.cm2.hr,rate.type,individual.ID
71,K202a_3004,130.7208527,0.00175584,29.42415932,K202a,K2,3004,3004,30,light,T2,37.1857966,610.25,0.61025,0.001071501,0,-0.002305267,0.003376768,0.326908851,NP,K202
72,K202a_3004D,141.8327037,-0.011962768,29.33921897,K202a,K2,3004D,3004,30,dark,T2,37.1857966,610.25,0.61025,-0.007300279,0,-0.002192911,-0.005107368,-0.494450185,R,K202
73,K202a_3106,139.5839925,0.005790925,29.99159624,K202a,K2,3106,3106,31,light,T2,37.1857966,610.25,0.61025,0.003533912,0,-0.001763068,0.00529698,0.512806754,NP,K202
74,K202a_3106D,142.4103634,-0.012916293,30.05710234,K202a,K2,3106D,3106,31,dark,T2,37.1857966,610.25,0.61025,-0.007882168,0,-0.001704527,-0.006177641,-0.598064601,R,K202
75,K202a_3202,168.3662049,0.014147422,31.43756074,K202a,K2,3202,3202,32,light,T2,37.1857966,610.25,0.61025,0.008633464,0,-0.000568563,0.009202027,0.890858887,NP,K202
76,K202a_3202D,175.415508,-0.010417424,31.44218875,K202a,K2,3202D,3202,32,dark,T2,37.1857966,610.25,0.61025,-0.006357233,0,-0.000687038,-0.005670195,-0.548938119,R,K202
77,K202a_3303,147.3159431,0.008271715,32.32356975,K202a,K2,3303,3303,33,light,T2,37.1857966,610.25,0.61025,0.005047814,0,-0.001362963,0.006410777,0.620634752,NP,K202
78,K202a_3303D,148.0499157,-0.011902245,32.33332576,K202a,K2,3303D,3303,33,dark,T2,37.1857966,610.25,0.61025,-0.007263345,0,-0.000960609,-0.006302736,-0.610175146,R,K202
79,K202a_3405,126.4512938,-0.000788277,32.98427253,K202a,K2,3405,3405,34,light,T2,37.1857966,610.25,0.61025,-0.000481046,0,-0.001581319,0.001100273,0.106518661,NP,K202
80,K202a_3405D,122.4679728,-0.009086342,33.05184042,K202a,K2,3405D,3405,34,dark,T2,37.1857966,610.25,0.61025,-0.00554494,0,-0.001064482,-0.004480458,-0.433758283,R,K202
81,K202b_2704,170.9890837,0.00771819,26.45492399,K202b,K2,2704,2704,27,light,T2,37.78276314,608.125,0.608125,0.004693624,0,-0.00037831,0.005071934,0.483261684,NP,K202
82,K202b_2704D,174.8677138,-0.006946883,26.39424118,K202b,K2,2704D,2704,27,dark,T2,37.78276314,608.125,0.608125,-0.004224573,0,-0.000403819,-0.003820755,-0.364047422,R,K202
83,K202b_2806,171.5024868,0.005970743,27.2788037,K202b,K2,2806,2806,28,light,T2,37.78276314,608.125,0.608125,0.003630958,0,-0.000995616,0.004626574,0.440827126,NP,K202
84,K202b_2806D,172.3113228,-0.008287688,27.19345356,K202b,K2,2806D,2806,28,dark,T2,37.78276314,608.125,0.608125,-0.00503995,0,-0.001005611,-0.004034339,-0.384398009,R,K202
85,K202b_2901,220.7274161,0.011924862,28.40073564,K202b,K2,2901,2901,29,light,T2,37.78276314,608.125,0.608125,0.007251807,0,-4.66E-06,0.00725647,0.691407684,NP,K202
86,K202b_2901D,227.634093,-0.007182637,28.27346534,K202b,K2,2901D,2901,29,dark,T2,37.78276314,608.125,0.608125,-0.004367941,0,-0.000116389,-0.004251552,-0.40509443,R,K202
87,K202b_3003,159.4186595,0.004454309,29.32848164,K202b,K2,3003,3003,30,light,T2,37.78276314,608.125,0.608125,0.002708777,0,-0.001985248,0.004694024,0.447253867,NP,K202
88,K202b_3003D,159.4799479,-0.011167783,29.33941171,K202b,K2,3003D,3003,30,dark,T2,37.78276314,608.125,0.608125,-0.006791408,0,-0.001865,-0.004926409,-0.469395814,R,K202
89,K202b_3105,133.4960897,0.007643713,30.02431189,K202b,K2,3105,3105,31,light,T2,37.78276314,608.125,0.608125,0.004648333,0,-0.001463881,0.006112214,0.582381139,NP,K202
90,K202b_3105D,136.5033697,-0.008765091,30.10870503,K202b,K2,3105D,3105,31,dark,T2,37.78276314,608.125,0.608125,-0.005330271,0,-0.00109415,-0.004236121,-0.403624115,R,K202
91,K202b_3206,129.6291691,-0.001090176,31.28507227,K202b,K2,3206,3206,32,light,T2,37.78276314,608.125,0.608125,-0.000662963,0,-0.001838183,0.00117522,0.111976779,NP,K202
92,K202b_3206D,125.4762432,-0.010224563,31.31001678,K202b,K2,3206D,3206,32,dark,T2,37.78276314,608.125,0.608125,-0.006217813,0,-0.001648052,-0.004569761,-0.435413866,R,K202
93,K202b_3302,150.6837218,0.003194905,32.58998733,K202b,K2,3302,3302,33,light,T2,37.78276314,608.125,0.608125,0.001942902,0,-0.001565491,0.003508393,0.334285063,NP,K202
94,K202b_3302D,144.1568487,-0.009928859,32.48319025,K202b,K2,3302D,3302,33,dark,T2,37.78276314,608.125,0.608125,-0.006037988,0,-0.001126838,-0.00491115,-0.467941947,R,K202
95,K202b_3403,132.5993272,-0.003419902,33.17739486,K202b,K2,3403,3403,34,light,T2,37.78276314,608.125,0.608125,-0.002079728,0,-0.001828995,-0.000250733,-0.023890271,NP,K202
96,K202b_3403D,126.6377943,-0.007515593,33.17517524,K202b,K2,3403D,3403,34,dark,T2,37.78276314,608.125,0.608125,-0.00457042,0,-0.001420949,-0.003149471,-0.300086504,R,K202
97,K202c_2703,168.7856844,0.003802667,26.4303142,K202c,K2,2703,2703,27,light,T2,19.11531661,611.375,0.611375,0.002324856,0,-0.000280198,0.002605054,0.490611458,NP,K202
98,K202c_2703D,170.6274374,-0.004215261,26.38669034,K202c,K2,2703D,2703,27,dark,T2,19.11531661,611.375,0.611375,-0.002577105,0,-0.000330601,-0.002246504,-0.423085583,R,K202
99,K202c_2804,179.5860186,0.003554488,27.10976568,K202c,K2,2804,2804,28,light,T2,19.11531661,611.375,0.611375,0.002173125,0,-0.00069377,0.002866895,0.539924161,NP,K202
100,K202c_2804D,180.4169116,-0.004536831,27.07817848,K202c,K2,2804D,2804,28,dark,T2,19.11531661,611.375,0.611375,-0.002773705,0,-0.000631231,-0.002142474,-0.403493512,R,K202
101,K202c_2906,168.3546604,0.001963893,28.22361693,K202c,K2,2906,2906,29,light,T2,19.11531661,611.375,0.611375,0.001200675,0,-0.001163993,0.002364668,0.445339415,NP,K202
102,K202c_2906D,167.5141816,-0.005568103,28.23231821,K202c,K2,2906D,2906,29,dark,T2,19.11531661,611.375,0.611375,-0.003404199,0,-0.001091144,-0.002313055,-0.435619121,R,K202
103,K202c_3001,191.168982,0.002743705,29.06065201,K202c,K2,3001,3001,30,light,T2,19.11531661,611.375,0.611375,0.001677433,0,-0.001367605,0.003045038,0.573473959,NP,K202
104,K202c_3001D,191.8187651,-0.006207903,29.08701542,K202c,K2,3001D,3001,30,dark,T2,19.11531661,611.375,0.611375,-0.003795356,0,-0.001457342,-0.002338015,-0.440319824,R,K202
105,K202c_3103,160.9169901,0.004481789,30.63144834,K202c,K2,3103,3103,31,light,T2,19.11531661,611.375,0.611375,0.002740054,0,-0.00115778,0.003897834,0.73408158,NP,K202
106,K202c_3103D,161.7783507,-0.006871667,30.4221792,K202c,K2,3103D,3103,31,dark,T2,19.11531661,611.375,0.611375,-0.004201166,0,-0.001074048,-0.003127118,-0.588932169,R,K202
107,K202c_3205,126.940958,0.001510611,31.29324462,K202c,K2,3205,3205,32,light,T2,19.11531661,611.375,0.611375,0.00092355,0,-0.00221216,0.00313571,0.590550272,NP,K202
108,K202c_3205D,126.0445973,-0.006414585,31.35065933,K202c,K2,3205D,3205,32,dark,T2,19.11531661,611.375,0.611375,-0.003921717,0,-0.001913172,-0.002008544,-0.378270484,R,K202
109,K202c_3306,116.7049879,0.000835038,32.61182381,K202c,K2,3306,3306,33,light,T2,19.11531661,611.375,0.611375,0.000510521,0,-0.001209878,0.001720399,0.324003956,NP,K202
110,K202c_3306D,115.3658107,-0.005118392,32.49753567,K202c,K2,3306D,3306,33,dark,T2,19.11531661,611.375,0.611375,-0.003129257,0,-0.000784078,-0.002345179,-0.441669152,R,K202
111,K202c_3402,159.1113435,-0.001077005,33.19777745,K202c,K2,3402,3402,34,light,T2,19.11531661,611.375,0.611375,-0.000658454,0,-0.001452896,0.000794442,0.149617785,NP,K202
112,K202c_3402D,156.6575261,-0.004540437,33.20950806,K202c,K2,3402D,3402,34,dark,T2,19.11531661,611.375,0.611375,-0.002775909,0,-0.000703306,-0.002072603,-0.390334727,R,K202
113,K202d_2705,164.2038231,0.014364339,26.34020429,K202d,K2,2705,2705,27,light,T2,55.44963104,605.25,0.60525,0.008694016,0,-0.00046209,0.009156106,0.594449057,NP,K202
114,K202d_2705D,171.2941791,-0.010994896,26.29623047,K202d,K2,2705D,2705,27,dark,T2,55.44963104,605.25,0.60525,-0.006654661,0,-0.000412565,-0.006242095,-0.405260448,R,K202
115,K202d_2806,165.7611899,0.01136418,27.3998401,K202d,K2,2806,2806,28,light,T2,55.44963104,605.25,0.60525,0.00687817,0,-0.000995616,0.007873786,0.511195981,NP,K202
116,K202d_2806D,168.6247119,-0.012840953,27.30777521,K202d,K2,2806D,2806,28,dark,T2,55.44963104,605.25,0.60525,-0.007771987,0,-0.001005611,-0.006766375,-0.439298707,R,K202
117,K202d_2902,236.6362809,0.017422251,28.58641019,K202d,K2,2902,2902,29,light,T2,55.44963104,605.25,0.60525,0.010544818,0,-4.75E-05,0.01059231,0.687692894,NP,K202
118,K202d_2902D,243.895439,-0.012009003,28.55013967,K202d,K2,2902D,2902,29,dark,T2,55.44963104,605.25,0.60525,-0.007268449,0,-3.71E-05,-0.007231314,-0.469484299,R,K202
119,K202d_3003,163.6422082,0.009852083,29.27583497,K202d,K2,3003,3003,30,light,T2,55.44963104,605.25,0.60525,0.005962973,0,-0.001985248,0.007948221,0.516028599,NP,K202
120,K202d_3003D,166.2043166,-0.017115785,29.29940028,K202d,K2,3003D,3003,30,dark,T2,55.44963104,605.25,0.60525,-0.010359329,0,-0.001865,-0.008494329,-0.551484029,R,K202
121,K202d_3105,143.5242413,0.013438796,29.84755104,K202d,K2,3105,3105,31,light,T2,55.44963104,605.25,0.60525,0.008133831,0,-0.001463881,0.009597712,0.623119808,NP,K202
122,K202d_3105D,148.4295368,-0.015671958,30.00753486,K202d,K2,3105D,3105,31,dark,T2,55.44963104,605.25,0.60525,-0.009485453,0,-0.00109415,-0.008391302,-0.544795129,R,K202
123,K202d_3201,184.9971346,0.018603836,31.46096247,K202d,K2,3201,3201,32,light,T2,55.44963104,605.25,0.60525,0.011259971,0,-0.000909697,0.012169669,0.79010096,NP,K202
124,K202d_3201D,193.7052453,-0.015973166,31.45008096,K202d,K2,3201D,3201,32,dark,T2,55.44963104,605.25,0.60525,-0.009667759,0,-0.000652856,-0.009014903,-0.585281652,R,K202
125,K202d_3302,152.9872964,0.007011517,32.54433803,K202d,K2,3302,3302,33,light,T2,55.44963104,605.25,0.60525,0.004243721,0,-0.001565491,0.005809212,0.377156011,NP,K202
126,K202d_3302D,144.3406924,-0.015342333,32.43536845,K202d,K2,3302D,3302,33,dark,T2,55.44963104,605.25,0.60525,-0.009285947,0,-0.001126838,-0.008159109,-0.529720277,R,K202
127,K202d_3404,142.1304004,-0.005828361,33.10987077,K202d,K2,3404,3404,34,light,T2,55.44963104,605.25,0.60525,-0.003527615,0,-0.001816068,-0.001711547,-0.111120121,NP,K202
128,K202d_3404D,132.4684789,-0.014003822,33.12496753,K202d,K2,3404D,3404,34,dark,T2,55.44963104,605.25,0.60525,-0.008475814,0,-0.001166913,-0.0073089,-0.474521486,R,K202
129,K203a_2702,157.6550895,0.006513016,26.43676416,K203a,K2,2702,2702,27,light,T3,32.04335527,610,0.61,0.00397294,0,-0.000135856,0.004108796,0.461614113,NP,K203
130,K203a_2702D,161.1024632,-0.005962601,26.40073869,K203a,K2,2702D,2702,27,dark,T3,32.04335527,610,0.61,-0.003637187,0,-0.000191109,-0.003446077,-0.387159168,R,K203
131,K203a_2803,177.9410061,0.006431204,27.1939769,K203a,K2,2803,2803,28,light,T3,32.04335527,610,0.61,0.003923034,0,-0.000501761,0.004424795,0.49711596,NP,K203
